NCT Number,Study Title,Study Status,Brief Summary,Study Results,Conditions,Interventions,Primary Outcome Measures,Secondary Outcome Measures,Phases,Enrollment
NCT01452880,Remifentanil in Extracorporeal Shock Wave Lithotripsy,COMPLETED,"The purpose of this study is to compare the analgesic efficacy and side effects induced by administration of two different infusion rates of remifentanil, 0,05 mcg/ Kg/ min versus 0,1mcg/ Kg/ min, in order to determine which one is the most appropriate analgesic treatment to face extracorporeal shock wave lithotripsy.",NO,Kidney Calculi,DRUG: Remifentanil|DRUG: Remifentanil,"VAS score, Before the beginning of ESWL and at the end of the treatment patient were asked to point out the intensity of pain they were feeling on an 11-points visual analog scale (VAS), ranged from 0 ""no pain"" to 10 ""worst pain""., Vas score was monitored up to the end of surgery, for about forty minutes",,PHASE4,228
NCT00600405,The Efficacy of Tamsulosin in the Treatment of Ureteral Stones in Emergency Department Patients,COMPLETED,The purpose of this study is to determine the efficacy of the α-adrenergic antagonist tamsulosin in the treatment of adult emergency department (ED) patients with ureteral colic secondary to lower ureteral calculus. We hypothesize that there will be no difference in outcomes for subjects treated with and without tamsulosin.,NO,Nephrolithiasis|Ureteral Calculi,DRUG: tamsulosin|DRUG: Standard therapy with ibuprofen and oxycodone.,"Rate of spontaneous ureteral stone expulsion, 48, 120, 336 hours","Time to spontaneous ureteral stone expulsion., 48, 120, 336 hours|Self-reported NRS-11 pain scores., 48, 120, 336 hours|Number of colicky pain episodes., 48, 120, 336 hours|Number of days missed work or usual functional ability., 48, 120, 336 hours|Number of return ED visits or unscheduled PCP visits for continued pain., 48, 120, 336 hours|Amount of narcotic pain medication used., 48, 120, 336 hours|Adverse medication-related events., 48, 120, 336 hours",NA,81
NCT06394219,A Comparative Study Between Anterior and Posterior Pyelotomy in Transperitoneal Laparoscopic Pyelolithotomy,COMPLETED,"Large renal pelvic stones are frequently managed with percutaneous nephrolithotomy (PCNL) but laparoscopic pyelolithotomy (LPL) can be an alternative procedure when performed by skilled surgeons to achieve excellent outcomes in terms of stone free status, operative time, postoperative kidney function, hospitalization duration, and complications.

there are two methods for LPL surgery : Transperitoneal (TLP) and Retroperitoneal (RLP).

RLP associated with shorter mean time for oral intake, and mean hospital stay after surgery.

The surgical exposure in the transperitoneal route for LP is familiar to the majority of surgeons. Also, a much larger working space is available and there are various established anatomical landmarks for performing the surgery effectively. This study introduces a modified technique that creates application of posterior pyelotomy in TLP to achieve the advantages of RLP",NO,Large Renal Stone,PROCEDURE: traditional transperitoneal laparoscopic pyelolithotomy|PROCEDURE: modified transperitoneal laparoscopic pyelolithotomy,"Operative time, the duration of the surgical procedure. It is measured by minutes, and calculated from establishing the pneumoperitoneum until the surgery is completed by suturing the skin.

It will be measured in the outcome by the mean, at the end of surgery in the operating room|Days for oral intake, the number of days to start introducing oral fluids and food after surgery with good acceptance, and without vomiting or flatulence.

It will be measured in the outcome by the mean, Up to one week after surgery|Days of hospital stay, the number of days the patient stayed in the hospital after surgery. It will be measured in the outcome by the mean, up to ten days after surgery|Postoperative urine leak, considered to be present when the drain contained \>30 cc of urine the morning after surgery.

It is measured by answering the question: Is there any urinary leakage, yes or no? It will be measured in the outcome by the ratio, up to three days after surgery|stone-free status, postoperative radiological imaging demonstrating evidence of residual stones It will be measured in the Outcome by the ratio, Up to one week after surgery",,NA,36
NCT01088555,Effect of Sodium Thiosulfate on Urine Chemistries of Hypercalciuric Stone Formers,COMPLETED,Sodium thiosulfate may be useful to prevent recurrence of calcium-containing kidney stones. It will be studied in people with high amounts of urine calcium.,NO,Kidney Stones,DRUG: Sodium thiosulfate,"Change in supersaturation of calcium oxalate / phosphate, 1 week",,NA,10
NCT04804436,"Protein Kinase 2 (HIPK2) Polymorphisms on rs2058265, rs6464214, and rs7456421",COMPLETED,"In the present study investigators aimed to investigate whether homeodomain interacting protein kinase 2 (HIPK2) polymorphism is associated with renal stone formation in Turkish population or not.

One hundred and twenty nine participants with calcium nephrolithiasis and 67 sex and age-matched healthy controls were enrolled in this study. For analysis of HIPK2 polymorphism, the real-time PCR amplification was performed in a final volume of 20μL reaction mixture, including 10 ng of genomic DNA, 5 µL of TaqMan® Universal PCR Master Mix, and 0.5 µL of 40X TaqMan® assay. The Rotor-Gene Q Series Software Version Q 2.3.1 (Rotor-Gene Q Series, Ziagen) was used for allelic discrimination. Chi square test was utilized to compare the differences of the genotype and allele frequencies between patients and controls.",NO,Kidney Stone,GENETIC: Genetic analysis,"Single nucleotide polymorphism, Single nucleotide polymorphism incidence on rs2058265, rs6464214, and rs7456421, One year",,NA,196
NCT00381849,Use of an Herbal Preparation to Prevent and Dissolve Kidney Stones,COMPLETED,"We will investigate the safety and effectiveness of a mixture of 9 east Indian herbs known as Cystone regarding their ability to dissolve existing kidney stones and prevent formation of new ones. Cystine and calcium stone formers will be recruited for a 59 week trial. The first phase of the study will be two 6 weeks periods during which each subject will receive Cystone or placebo in random order (with a one-week wash out between 6 week treatment periods). The remaining 46 weeks, each subject will receive Cystone. End points are changes in urinary chemistries and stone burden by Computerized Tomography (CT) scanning.",YES,"Cystinuria|Nephrolithiasis, Calcium Oxalate",DRUG: Cystone|DRUG: Sugar Pill (Placebo),"24 Hour Urine Supersaturation of Calcium Oxalate (CaOx), Urine is often supersaturated, which favors precipitation of crystalline phases such as calcium oxalate. However, crystals do not always form in supersaturated urine because supersaturation is balanced by crystallization inhibitors that are also present. Supersaturation is calculated by measuring the concentration of all the ions that can interact. Once these concentrations are known, a computer program can calculate the theoretical supersaturation with respect to the important crystalline phases, eg, calcium oxalate., baseline, after 6 weeks treatment on placebo, after 6 weeks treatment on cystone, at end of 46 weeks of open label cystone treatment|24 Hour Urine Supersaturation of Calcium Phosphate (Brushite), Urine is often supersaturated, which favors precipitation of crystalline phases such as calcium oxalate. However, crystals do not always form in supersaturated urine because supersaturation is balanced by crystallization inhibitors that are also present. Supersaturation is calculated by measuring the concentration of all the ions that can interact. Once these concentrations are known, a computer program can calculate the theoretical supersaturation with respect to the important crystalline phases, eg, calcium oxalate., baseline, after 6 weeks treatment on placebo, after 6 weeks treatment on cystone, at end of 46 weeks of open label cystone treatment|24 Hour Urine Supersaturation of Calcium Phosphate (Hydroxyapatite), Urine is often supersaturated, which favors precipitation of crystalline phases such as calcium oxalate. However, crystals do not always form in supersaturated urine because supersaturation is balanced by crystallization inhibitors that are also present. Supersaturation is calculated by measuring the concentration of all the ions that can interact. Once these concentrations are known, a computer program can calculate the theoretical supersaturation with respect to the important crystalline phases, eg, calcium oxalate., baseline, after 6 weeks treatment on placebo, after 6 weeks treatment on cystone, at end of 46 weeks of open label cystone treatment|24 Hour Urinary Cystine Excretion, baseline, after 6 weeks treatment on placebo, after 6 weeks treatment on cystone, at end of 46 weeks of open label cystone treatment|Stone Density as Measured by Agatston Score Via Computerized Tomography, Agatston results are a measure of calcium typically used for measuring coronary artery calcification., Baseline, approximately 52 weeks after baseline|Volume of Kidney Stones as Measured on Computerized Tomography, Measurement of kidney stone volume in cubic millimeters., Baseline, approximately 52 weeks after baseline","Change in Stone Burden as Assessed by Radiologist at One Year, Stone burden will be quantitated using the stone quantification protocol currently available at Mayo that quantitates kidney stones both by volume and by density measured in Agatston units., Baseline, approximately 52 weeks after baseline",PHASE1|PHASE2,20
NCT00351351,Trial Comparing Dual Probe Ultrasonic Lithotripsy to a Single Probe Ultrasonic Lithotripsy,COMPLETED,"Percutaneous nephrolithotomy (PNL), in conjunction with intracorporeal lithotripsy, allows for the rapid removal of any kidney stone regardless of size. Currently, the choice of intracorporeal lithotripters includes ultrasonic, pneumatic, and combined ultrasonic/pneumatic energy sources. Recently, a novel dual probe design as been introduced by Cybersonics of Erie, Pennsylvania. This dual probe intracorporeal lithotrite is called the Cyberwand, and is composed of a fixed inner probe vibrating at an ultrasonic frequency with an outer probe vibrating at about 1,000 Hz. As this new design has the potential to revolutionize intracorporeal lithotripsy, we intend to compare this novel technology to currently available lithotripsy technology in a randomized clinical trial.",YES,Kidney Stones,DEVICE: Cyberwand|DEVICE: single probe ultrasonic,"Kidney Stone Clearance Rate, stone clearance rate calculated in mm\^2/min per protocol specification, 6 months",,NA,70
NCT02579161,Trial of Randomized Antibiotic Administration in Percutaneous Nephrolithotomy,COMPLETED,"The Investigators objective is to compare the clinical efficacy of a single-day protocol with a short-course protocol for PCNL. The investigator hope is to reduce the use of possibly unnecessary prolonged antibiotic use, reduce hospital costs and prevent the further propagation of resistant microbes.",YES,Kidney Stones,DRUG: cephalosporins|DRUG: Fluoroquinolones|DRUG: Clindamycin|DRUG: Ampicillin/Gentamicin,"Number of Participants With Infectious Complications, Compare the rate of infectious complications following a single-dose of peri-operative protocol (antibiotics for 24 hours as recommended by the American Urological Association Guidelines) with a short-course protocol (antibiotics continued until any external catheters such as nephrostomy tubes are removed) following percutaneous nephrolithotomy. Complication rate differences, primarily infectious complications such as fever, sepsis, systemic inflammatory response., 0-30 days post-operatively","Length of Stay (Days), Length of Hospital Stay After Surgery (days), 0-30 days post operatively|Number of Participants With Associated Clavien Grade of Adverse Event, Overall complication rates are reported based on Clavien-Dindo scale. The numbers reported are recorded Clavien complications. There is only one Clavien complication per patient as such a recorded number indicates one complication of this classification and also one patient with this complication. For example, if a Clavien III is recorded, it is indicating that one patient in that study group had one Clavien III complication.

Grade I are any deviation from the normal post-operative course not requiring surgical, endoscopic or radiological intervention.

Grade II complications require drug treatments other than those allowed for Grade I complications; Grade III complications require surgical, endoscopic or radiological intervention either IIIa, not under general anesthesia or IIIb, under general anesthesia. Grade IV are Life-threatening complications. Grade V are most severe and result in death of the patient., 0 to 30 days after surgery",PHASE3,98
NCT04900688,Prospective Evaluation of the LithoVue Elite Ureteroscope,RECRUITING,"Flexible ureteroscopy has become the main surgical treatment for kidney stone disease. The procedure uses many types of ureteroscopes (disposable and non-disposable). Currently we are using the LithoVue Single-Use Digital Flexible Ureteroscope. The Health Canada approved LithoVue Elite disposable flexible ureteroscope will now offer novel pressure sensory capacity. In order to evaluate the new ureteroscopy we will be conducting a prospective multi-institution study in order to determine the main features, capacity and abilities of the new scope. We will evaluate the impact of intra renal pressure on pain, quality of life and possible infectious complications.",NO,Kidney Stone,DEVICE: LithoVue Elite,"WISQOL, Change in quality of Life of patients living with kidney stones as assessed by the Winsconsin Stone Quality Of Life questionnaire, At baseline, 1-2 weeks after surgery and 4-8 weeks after surgery","BPI, Change in pain intensity as assessed by the Brief Pain Inventory Questionnaire (BPI), at baseline, in the recovery room after surgery, 1-2 weeks after surgery and 4-8 weeks after surgery|Stone free rate, Stone free rate as assessed by imaging, 4-8 weeks after surgery|Infectious Complications, Postoperative infectious Complications as assessed by the healthcare provider, at 30 days after surgery|Complications, Postoperative complications as assessed by the healthcare provider, at 30 days after surgery|Change in neutrophil gelatinase-associated lipocalin (NGAL) from baseline, NGAL is a marker of kidney injury. NGAL measurement will de done on a urine sample, at baseline and in the recovery room after surgery",NA,150
NCT05952635,Tip Bendable Suction Ureteral Access Sheath vs. Traditional Ureteral Access Sheath in Retrograde Intrarenal Stone Surgery,COMPLETED,"Nephrolithiasis is the most common chronic kidney condition and affecting approximately one in every 10-17 people in the world\[1,2\]. Flexible ureteroscopy (f-URS) has become one of the most common treatments for ureteral and renal stones with minimal complications. The development of ureteral access sheath (UAS) is a significant advance in flexible ureteroscopic management of urinary stones. The UAS has two major advantages: 1) facilitating multiple entries into the renal collecting system without causing recurrent trauma to the ureter and permit expeditious basketing of multiple stone fragments, 2) improving the irrigation with better fluid outflow, thereby reducing the renal pelvic pressure (RPP) and risk of infectious complications.

The tip bendable suction ureteral access sheath (S-UAS) is a novel UAS that has good flexibility and deformability at the tip, which can passively bend (bend \>90°) with the bending of f-URS and can connect to a vacuum suction device. Preliminary study showed that S-UAS can follow f-URS to cross the UPJ and into the renal pelvis and calices. S-UAS close to the stone can achieve complete stone-free status in RIRS. However, further clinical studies and comparisons with available techniques are required. This prospective, single-blinded, single-center, randomized control trial will evaluate the stone free rates, operative time, postoperative complications following RIRS with S-UAS. To the best of our knowledge, this is the first study to compare the clinical benefits of RIRS with S-UAS and traditional UAS.",NO,Kidney Stone,PROCEDURE: Tip bendable suction ureteral access sheath,"Immediate stone-free rate, No residual stone, or no stone fragments larger than 2 mm on KUB and ultrasound at postoperative day 1 are defined as stone free., Postoperative day 1","Stone-free rate at 3 months, No residual stone, or no stone fragments larger than 2 mm on CT scan at postoperative 3 month are defined as stone free., Postoperative 3 month|Duration of hospital stay, From date of operation until the date of discharge, assessed up to 2 weeks.|Further interventions received up to 3 months post randomization, Postoperative 3 month|Complications up to 3 months post randomization, Postoperative 3 month|Change of Quality of life Score (prior to surgery and at month 3 after randomization), Postoperative 3 month|Operative time, The duration from the insertion of the endoscope into the urethra to the completion of stent placement., From start of operation until the end of operation, assessed up to 2 weeks.",NA,320
NCT07272720,PMCF Investigation of MODULITH® SLX-F2 With StorM-Track in Patients With Kidney Stones,RECRUITING,"Extracorporeal shockwave lithotripsy (ESWL) is a non-invasive standard treatment for kidney stones.

This study will be conducted to evaluate the effectiveness of ESWL using MODULITH® SLX-F2 with stone tracking, compared to MODULITH® SLX-F2 without stone tracking, in adult patients with kidney stones, as measured by stone-free status.",NO,Kidney Stones|Urolithiasis,DEVICE: ESWL with kidney stone tracking (StorM-Track)|DEVICE: Standard ESWL without stone tracking (StorM-Track disabled),"Stone-free rate (SFR), Proportion of subjects who are stone free or present with clinically insignificant residual fragments (measuring ≤ 4 mm on CT), 6±2 weeks post 1st treatment",,NA,126
NCT03872843,Opioid Free Management After Ureteroscopy,COMPLETED,The purpose of this research study is to compare how well two medications work to control post-operative pain.,YES,Kidney Stone,"DRUG: Norco 5milligram-325milligram Tablet|DRUG: Ibuprofen 400 MILLIGRAM in 1 TABLET ORAL TABLET, FILM COATED","Amount of Pain Medication Used, Number of tablets taken after surgery, between baseline through day 7|Number of Subjects Who Need Additional Pain Medication and/or Refill, Number of Subjects Who Need Additional Pain medication and/or Refill, baseline through day 7","Urinary Index, Ureteral stent symptom questionnaire Urinary Symptom score ranges from 11 to 56 with a higher score denoting a worse outcome., day 7",PHASE4,22
NCT06996587,ILY Robotic System vs Manual Flexible Ureteroscopy for Kidney Stone Treatment,RECRUITING,"The goal of this clinical trial is to compare the efficacy, ergonomics, and safety of robotic versus manual flexible ureteroscopy (fURS) for kidney stone treatment in adult patients undergoing laser lithotripsy.

* Does robotic-assisted lithotripsy using the ILY® robot have the same efficacy as the manual fURS in treating kidney stones?
* Is robotic flexible ureteroscopy associated with similar or improved safety outcomes, including perioperative and 30-day postoperative complication rates?
* Does the robotic system offer improved ergonomics, lower surgeon radiation exposure, and favorable intraoperative metrics compared to manual flexible ureteroscopy? Researchers will compare the ILY robotic system with manual fURS to see if robotic intervention can match or improve clinical and ergonomic outcomes.

Participants will:

* Be randomly assigned to undergo laser lithotripsy with either the ILY robot or manual flexible ureteroscopy
* Complete standard pre- and postoperative assessments
* Undergo evaluation for stone-free status using a non-contrast CT scan at 30 days postoperatively
* Undergo evaluation for postoperative complications",NO,Kidney Stones|Urolithiasis,PROCEDURE: Robotic-Assisted Flexible Ureteroscopy|PROCEDURE: Manual Flexible Ureteroscopy,"Efficacy assessed by measuring the stone-free rate (SFR), A patient is considered stone free if there are no visible residual stone fragments after the treatment., 30 days after the index procedure","Perioperative and 30-day Postoperative Outcomes, This assessment will account for any complications related to the patient's clinical condition from the procedure through a 4-week postoperative period., Perioperatively and 30 days after the procedure|Ergonomics, The NASA Task Load Index will be used to assess for ergonomics., Immediately after the procedure|Surgeon safety in terms of radiation exposure, Surgeon safety from ionizing radiation will be assessed by the surgeon wearing 3 dosimeter badges used to detect and record exposure., During the procedure|Intraoperative Parameters, Operative time, draping time, docking time, lasing time (all measured in minutes), During the procedure|Conversion rate, The proportion of cases where a procedure originally planned using the robotic technique had to be converted to manual fURS due to complications, technical difficulties, or failure of equipment., During the procedure",NA,152
NCT06269783,Dual-process Mechanisms of Action for sipIT Intervention Effects in Patients With Urolithiasis,COMPLETED,"The purpose of this study is to clarify the fundamental processes underlying behavior change, maintenance, and adherence during and after a 3-month fluid intake intervention period.",NO,Kidney Stone|Urolithiasis|Nephrolithiasis,BEHAVIORAL: sipIT,"Urine volume (intervention), Change in urine volume, from baseline to the end of the intervention period (3 months)","Urine volume (maintenance), Change in urine volume, from the end of the intervention period (3 months) to the maintenance change at 6 months",NA,172
NCT06729801,Intrarenal Pressure Monitoring Via Flexible and Navigable Suction Ureteral Access Sheath in Retrograde Intrarenal Surgery,COMPLETED,"This study evaluates the use of a novel intrarenal pressure (IRP)-monitoring flexible and navigable suction ureteral access sheath (FANS) in retrograde intrarenal surgery (RIRS) for renal stones. The prospective clinical trial compares its efficacy and safety against conventional FANS in 100 patients. The primary outcomes include IRP monitoring accuracy, operative time, stone-free rate (SFR), and complication rates, with the aim of improving stone retrieval efficiency and procedural safety in RIRS. This trial seeks to validate the innovative device's role in expanding RIRS indications, especially for large renal stones.",NO,Kidney Stone,DEVICE: IRP-Monitoring Flexible and Navigable Suction Ureteral Access Sheath (FANS)|DEVICE: Conventional FANS,"Operative Time, The primary outcome will be the total operative time, measured from the insertion of the endoscope into the urethra to the completion of stent placement. This outcome will assess the efficiency of stone retrieval when using either the IRP-monitoring FANS or the conventional FANS., Measured during the surgical procedure, from the start of the surgery to the end of the procedure (estimated duration: 30-60 minutes per patient).","Stone-Free Rate (SFR), The stone-free rate (SFR) will be measured postoperatively through non-contrast CT imaging. The SFR will assess the effectiveness of stone retrieval and the success of the procedure., 24-48 hours post-surgery, based on CT scan results.|Postoperative Complications, The rate of postoperative complications, including fever, infection, bleeding, or ureteral injury, will be recorded. This will help compare the safety profile of both FANS devices., Evaluated within 30 days post-surgery.",NA,100
NCT05589649,Erector Spinae Versus Paravertebral in Pediatric PCNL,COMPLETED,To compare the efficacy of ultrasound-guided erector spinae plane block versus ultrasound-guided paravertebral block in pediatric patients undergoing percutaneous nephrolithotomy,NO,Renal Stone|Percutaneous|Nephrolithotomy,PROCEDURE: Erector spinae plane block|PROCEDURE: Paravertebral block,"Total consumption of nalbuphine, The first 24 hours postoperatively|Time to first rescue analgesia, The first 24 hours postoperatively","The concentration of sevoflurane in percent, Through the surgery, an average of 2 hours|Systolic, diastolic, and mean blood pressure during surgery in mmHg, Through the surgery, an average of 2 hours",NA,56
NCT06437379,Infection Control Measures for Patients Undergoing Percutaneous Nephrolithotomy,COMPLETED,To evaluate the effect of implementing teaching protocol on nurse's knowledge and practice regarding infection control measures for patients undergoing Percutaneous Nephrolithotomy.,NO,Urological Nursing|Kidney Stone,BEHAVIORAL: Infection control,"teach nurses new measures to reduce infection in patient undergoing PCNL by applying infection control measure, use infection control technique to reduce infection in patient undergoing PCNL, one year","reduce the patients hospital stay postoperative, reduce patient length of hospital stay, one year",NA,30
NCT06469736,Comparison Between Ureterorenoscopy With Lithotripsy Alone Versus Combination With Hydrogel for Kidney Stone Removal,RECRUITING,"The incidence of kidney stones (urolithiasis) has surged in both developing and developed countries, affecting approximately 15% of the global population. From 2010 to 2019, diagnoses of kidney and ureteral stones rose by 8% in Germany, 26% in France, and 15% in England. Correspondingly, the number of surgical stone removal procedures increased by 3%, 38%, and 18%, respectively. Common treatments include extracorporeal shock wave lithotripsy (ESWL), ureterorenoscopy (URS) with lithotripsy, and percutaneous nephrolithotomy (PCNL).

URS, depending on stone size, has become a preferred method due to advancements in intraoperative imaging and laser technology. Despite these improvements, small fragments often remain post-intervention, leading to recurrent stones. Complete removal of all fragments is crucial to significantly reduce recurrence rates. Current literature suggests a high recurrence rate with residual fragments, impacting healthcare costs and patient quality of life.

A key objective in endourological research is optimizing the stone clearance rate. Techniques like coagulum lithotomy and the autologous blood clot technique have been developed to enhance residual stone removal after laser fragmentation. These methods benefit selected patients but are not widely adopted due to complications such as reduced intraoperative visibility and long coagulum formation times.

Recently, a two-component hydrogel system called mediNiK® (Purenum GmbH, Germany) was developed. This biocompatible gel can be applied through an endoscope after stone fragmentation and large fragment retrieval to embed smaller fragments and dust, forming a removable conglomerate. MediNiK® has demonstrated effectiveness in embedding and removing stone residues and is already in clinical use in Europe, showing potential for optimizing stone removal.

A multicenter study has assessed the safety and tolerability of mediNiK® in standard URS (Open, randomized, multicentre study to evaluate the safety, tolerability, and performance of mediNiK® compared to standard treatment in kidney stone removal - DRKS00030532). Results indicate the gel is safe and tolerable. However, further data from larger cohorts and comparisons with conventional URS are necessary before widespread adoption of mediNiK®.",NO,"Nephrolithiasis|Lithotripsy, Laser|Ureteroscopy",PROCEDURE: Standard of Care Ureterorenoscopy|PROCEDURE: Standard of Care Ureterorenoscopy with MediNiK,"Stone free Rate after URS, To answer the primary research question, a comparison of the SFR between the two surgical procedures is planned using the chi-square test. In order to be able to show a statistically significant difference with regard to the surgical procedures according to the current data situation (75 % vs. 95 %), a sample size of 120 was defined with a power of 80 % and a significance level of 0.025 (the significance correction is made due to the definition of two co-primary endpoints in relation to the definition of freedom from stones)., From enrollment to postoperative follow-up at 2 months.","Surgery Duration, • Duration of surgery (minutes, continuous): defined as the time from transurethral entry with the cystoscope to ureteral stent insertion in the affected kidney), During the procedure|Laser duration, • Laser duration (minutes, continuous): defined as the time until the stone is sufficiently dusted, during the procedure|Basketing duration, • Basketing duration (minutes, continuous): defined as the time until the fragments are completely captured and removed, during the procedure|Complication, • Complication rates according to Clavien Dindo (I-IV); the type and number (%) are recorded, after the procedure up to 1 month|Subjective assessment of the operation by the surgeon, • Subjective assessment of the operation by the surgeon via questionnaire (Likert scales, 1-5): Difficulty 1 (easy) - 5 (very difficult) ,Stone-free 1(no stones) - 5 (2nd look necessary), During the procedure|Cost, Costs (euros): defined as the costs of hospitalization, surgery, outpatient care and emergency presentation in euros per patient, From enrollment to postoperative follow-up at 12 months|Frequency of a stone-related event, Frequency of a stone-related event (defined as an event related to stone treatment, %): Repeat operation: DJ blocked (yes, no), completion of URS in case of residual stone (yes, no), repeat URS in case of stone recurrence (yes, no, side), DJ in case of new stone formation (yes, no, side, type), New stone formation: stone recurrence (yes, no, side), colic (yes, no, side), new imaging (yes, no, type), From enrollment to postoperative follow-up at 3 months.",NA,120
NCT01922414,Laser Versus Ultrasonic Lithotripsy in Percutaneous Nephrolithotomy for Staghorn Stones,COMPLETED,This study will be conducted to compare the results of Laser and ultrasonic lithotripsy in disintegration of staghorn stones during percutaneous nephrolithotomy.,NO,Kidney Stones,DEVICE: Laser|DEVICE: Ultrasonic,"Stone Free rate, Assessment of stone free rate after 3 months from treatment using NCCT, Patients will be followed for 3 months after the procedure","Assessment of the safety of each technique, Measurement of complication rates, classifications of the severity of complications, From the start of the operation till 3 months after discharge from the hospital|Operative time, Measurement of the time from start of ureteral catheter fixation till the fixation of the nephrostomy tube, An expected average of 3 hours|Hospital stay, up to 7 days",NA,70
NCT02938884,Hidrate Me Smart Water Bottle Use in Patient With Nephrolithiasis,COMPLETED,The primary objective of this study would be to determine whether utilization of this technology improves adherence to recommended increases in hydration for stone forming patients with low urine volume relative to standard techniques such as education and reading materials. We hypothesize that the addition and utilization of the smart water bottle to standard recommendations will lead to measurable increases 24 hour urine output for affected patients.,NO,Nephrolithiasis|Low Urine Volume,DEVICE: HidrateSpark Water Bottle,"Change from baseline in hydration adherence at 12 weeks, as determined by measurable increase in urine volume, 12 weeks",,NA,85
NCT04603898,Oxalate Formation From Ascorbic Acid,RECRUITING,"The purpose of this basic research study is to determine the contribution of endogenous ascorbic acid (AA) turnover to urinary oxalate excretion in both normal BMI and obese adult non-stone formers and calcium oxalate stone formers. The studies proposed will use diets of known nutrient composition, a stable isotope of ascorbic acid (13C6-AA) and mass spectrometric techniques to quantify ascorbic acid turnover to oxalate.",NO,Kidney Stone,DIETARY_SUPPLEMENT: Low Oxalate Diet|DIETARY_SUPPLEMENT: Carbon-13 Ascorbic Acid Oral Load,"Percent contribution of ascorbic acid (AA) to urinary oxalate excretion, On the last day (Day 4) of controlled diet and 24 hours following ingestion of an oral load of carbon-13 AA (1mg/kg), urine and blood will be collected and the levels of carbon 12 and carbon 13 AA and oxalate measured to determine the percent contribution of AA metabolism to urinary oxalate excretion for each subject., Day 4",,NA,136
NCT06681116,Use of Nanotechnology Structured Water for the Prevention of Recurrent Stone Formation,COMPLETED,We assessed the effect of structured nano-water in the prevention of recurrent stone formation in patients with recurrent calcium oxalate stones and hypercalciuria.,NO,Renal Stones|Idiopathic Hypercalciuria,DIETARY_SUPPLEMENT: structured nano-water|DRUG: Hydrochlorothiazide (HCTZ)|OTHER: ordinary bottled drinking water,"Recurrent renal stones, recurrent renal stone were diagnosed by ultrasound and X-ray ( kidney ureter Bladder X-ray), From enrollment to the end of treatment at 36 months",,NA,325
NCT04435132,Robotic-assisted Percutaneous Access,COMPLETED,This is a first-in-man (FIM) study to show feasibility and safety profile of the newly developed robotic device for percutaneous access in PCNL surgery. Patients with renal stone disease who had standard indications for prone PCNL were included in the study. PCNL was conducted with percutaneous puncture with the aid of robotic device with the use of intra-operative fluoroscopy. 5 patients were recruited in this pilot study over a period of 3 months. Punctures were performed by the board-qualified urologist.,NO,Kidney Stone,DEVICE: PCL under fluoroscopy with the aid of the robotic device,"Needle insertion time, Time taken for PCNL procedure, During procedure|Needle alignment time, Time taken for needle alignment, During procedure|Time to target, Time taken for the needle to reach the calyx, from on the skin to successful needle targeting, During procedure|Number of needle insertion attempts to obtain access, Number of attempts before successfully reaching the calyx, During procedure|Radiation dosage from placement of robot to efflux of urine, A measure of the radiation exposed during the surgical procedure, During procedure|Radiation dosage from placement of robot to successful needle target via image confirmation, A measure of the radiation exposed during the surgical procedure, During procedure",,NA,5
NCT02690662,Influence of Hypocaloric Diet on Urinary Lithogenic Factors of Obese Patients With Kidney Stones,COMPLETED,The objective of this study is to evaluate the influence of low-calorie diet on serum and urinary metabolic parameters of obese adults with urinary calculi and lithogenic metabolic abnormalities.,NO,Obesity|Kidney Stones,BEHAVIORAL: Hypocaloric diet,"Urinary lithogenic factors variation, serum and 24h urine test as before the diet., 3 months",,NA,50
NCT01330940,Effect of Diet Orange Soda on Urinary Lithogenicity,COMPLETED,Beverages containing citrate may be useful in increasing urine citrate content and urine pH. Such changes in urine chemistry could help prevent kidney stones. Diet orange soda has more citrate than other similar beverages. The investigators are interested in whether diet soda will improve urine chemistry in the appropriate manner.,NO,Kidney Stones|Nephrolithiasis|Urolithiasis,DIETARY_SUPPLEMENT: Orange soda,"Change in urine citrate content, Citrate is measured in 24h urine sample and expressed as mg/day, 1 week","Change in urine pH, urine pH is measured in a 24h urine sample and has no units, One week",NA,12
